Datetime,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,Datetime
2016-03-01,12,2016,3,3,8,3,5,3,1,1,0,0,0,0,0,0,8.597380595,53.568769813,Lehe (BHV),Klushof,2016-3
2016-04-01,11,2016,4,4,13,3,3,6,1,0,0,0,0,0,0,0,8.859738504,53.089648262,Schwachhausen,Radio Bremen,2016-4
2016-03-01,11,2016,3,7,12,3,5,2,1,1,0,0,0,0,0,0,8.850046479,53.085079966,Schwachhausen,Gete,2016-3
2016-04-01,11,2016,4,1,15,3,3,1,1,1,0,0,0,0,0,0,8.742437254,53.062911419,Huchting,Mittelshuchting,2016-4
2016-04-01,11,2016,4,4,19,3,0,7,1,0,0,0,0,0,0,1,8.819437836,53.072574695,Mitte,Ostertor,2016-4
2016-04-01,11,2016,4,4,7,3,1,1,1,1,0,0,0,0,0,1,8.834228235,53.090176902,Schwachhausen,Bürgerpark,2016-4
2016-03-01,11,2016,3,5,10,2,5,2,1,1,0,0,0,0,0,0,8.70846528,53.151837478,Burglesum,Burg-Grambke,2016-3
2016-04-01,11,2016,4,2,10,3,5,3,1,1,0,0,0,0,0,0,8.702148538,53.168182758,Burglesum,Burgdamm,2016-4
2016-04-01,11,2016,4,1,13,3,5,3,1,1,0,0,0,0,0,0,8.819687247,53.038297648,Obervieland,Kattenturm,2016-4
2016-04-01,11,2016,4,1,0,3,0,7,1,0,0,0,0,0,2,0,8.817882461,53.072374958,Mitte,Ostertor,2016-4
2016-04-01,11,2016,4,2,15,3,5,3,1,1,0,0,0,0,0,0,8.940559709,53.077595407,Oberneuland,Unbekannt,2016-4
2016-04-01,11,2016,4,1,16,3,0,1,1,0,0,0,0,0,0,0,8.691802551,53.168278129,Burglesum,Lesum,2016-4
2016-03-01,11,2016,3,2,16,3,5,3,1,1,0,0,0,0,0,0,8.805024035,53.08371231,Mitte,Bahnhofsvorstadt,2016-3
2016-04-01,11,2016,4,1,5,2,7,1,1,0,0,0,0,1,2,0,8.802034801,53.063799582,Neustadt,Buntentor,2016-4
2016-03-01,12,2016,3,1,20,3,0,7,1,0,0,0,0,0,1,1,8.592963608,53.556455765,Lehe (BHV),Klushof,2016-3
2016-03-01,11,2016,3,6,18,3,5,3,1,1,0,0,0,0,1,0,8.78897662,53.073130957,Neustadt,Alte Neustadt,2016-3
2016-04-01,11,2016,4,2,19,3,0,7,1,1,0,0,0,0,0,0,8.87917067,53.076257495,Vahr,Gartenstadt Vahr,2016-4
2016-04-01,11,2016,4,4,14,2,5,2,1,1,0,0,0,0,0,0,8.856585417,53.071355158,Hemelingen,Hastedt,2016-4
2016-04-01,11,2016,4,2,8,3,4,6,1,1,0,0,0,0,0,0,8.899802602,53.047335526,Hemelingen,Hemelingen,2016-4
2016-03-01,11,2016,3,5,7,3,3,6,1,1,0,0,0,0,0,0,8.830795963,53.074397578,Östliche Vorstadt,Steintor,2016-3
2016-04-01,11,2016,4,6,14,3,2,6,1,1,0,0,0,0,0,0,8.821997548,53.072830997,Mitte,Ostertor,2016-4
2016-04-01,11,2016,4,7,12,3,5,3,1,1,0,0,0,0,0,0,8.844819337,53.033690099,Obervieland,Arsten,2016-4
2016-04-01,11,2016,4,6,11,3,5,3,1,0,0,0,0,1,0,1,8.796629315,53.089221404,Walle,Utbremen,2016-4
2016-04-01,11,2016,4,2,9,3,3,6,1,0,0,0,0,0,0,0,8.801308121,53.071498151,Neustadt,Alte Neustadt,2016-4
2016-03-01,11,2016,3,6,17,3,5,3,1,1,0,0,0,0,1,0,8.737291418,53.134140503,Gröpelingen,Oslebshausen,2016-3
2016-03-01,11,2016,3,7,14,3,6,7,1,0,1,0,0,0,0,0,8.735067186,53.038056267,Huchting,Kirchhuchting,2016-3
2016-04-01,11,2016,4,5,13,3,4,6,1,0,0,0,0,0,0,0,8.810548366,53.075253184,Mitte,Altstadt,2016-4
2016-03-01,11,2016,3,7,15,3,5,2,1,1,0,0,0,0,0,0,8.768206656,53.104375033,Walle,Walle,2016-3
2016-03-01,12,2016,3,5,16,3,0,1,1,0,0,0,0,0,0,0,8.59146205,53.543692504,Geestemünde,Geestemünde-Nord,2016-3
2016-04-01,11,2016,4,1,22,3,0,7,1,0,0,0,0,0,2,0,8.80173235,53.06789362,Neustadt,Südervorstadt,2016-4
2016-03-01,12,2016,3,5,7,3,5,3,1,1,0,0,0,0,0,0,8.595208056,53.538989637,Geestemünde,Geestemünde-Nord,2016-3
2016-04-01,11,2016,4,4,12,3,0,7,1,0,0,0,0,0,0,0,8.826528399,53.072903557,Östliche Vorstadt,Steintor,2016-4
2016-04-01,11,2016,4,6,10,2,5,3,1,1,0,0,0,0,0,0,8.887635199,53.069705466,Hemelingen,Sebaldsbrück,2016-4
2016-03-01,11,2016,3,7,18,3,0,7,1,0,0,0,0,0,0,0,8.612186617,53.178596401,Vegesack,Fähr-Lobbendorf,2016-3
2016-04-01,11,2016,4,7,17,3,6,4,1,0,1,0,0,0,0,0,8.842432224,53.067725089,Östliche Vorstadt,Peterswerder,2016-4
2016-04-01,11,2016,4,6,19,3,0,7,1,0,0,0,0,0,0,0,8.765834807,53.082152753,Woltmershausen,Woltmershausen,2016-4
2016-04-01,12,2016,4,3,14,3,0,1,1,0,0,0,0,0,0,0,8.595284292,53.530378867,Geestemünde,Geestendorf,2016-4
2016-04-01,11,2016,4,1,12,3,0,1,1,0,0,0,0,0,0,0,8.794090895,53.074349536,Neustadt,Alte Neustadt,2016-4
2016-04-01,11,2016,4,2,19,3,5,2,1,1,0,0,0,0,1,0,8.800539481,53.078594612,Mitte,Altstadt,2016-4
2016-03-01,11,2016,3,5,19,3,4,6,1,0,0,0,0,0,1,0,8.827944128,53.079944798,Schwachhausen,Gete,2016-3
2016-03-01,12,2016,3,7,13,2,5,7,1,0,0,1,0,0,0,1,8.580081283,53.541065572,Mitte (BHV),Mitte-Süd,2016-3
2016-04-01,11,2016,4,3,16,3,0,7,1,1,0,0,0,0,0,0,8.827693759,53.07476679,Östliche Vorstadt,Steintor,2016-4
2016-03-01,11,2016,3,5,9,3,6,4,1,0,1,0,0,0,0,0,8.765408625,53.084933272,Woltmershausen,Woltmershausen,2016-3
2016-03-01,11,2016,3,5,16,3,8,1,1,0,0,0,0,0,0,0,8.702028919,53.173133958,Burglesum,Burgdamm,2016-3
2016-04-01,11,2016,4,5,16,3,5,2,1,1,0,0,0,0,0,0,8.808628099,53.08289893,Mitte,Bahnhofsvorstadt,2016-4
2016-04-01,11,2016,4,2,17,2,1,5,1,1,0,0,0,0,0,0,8.816264784,53.073299118,Mitte,Ostertor,2016-4
2016-04-01,11,2016,4,7,13,3,5,2,1,1,0,0,0,0,0,0,8.860624644,53.066172923,Hemelingen,Hastedt,2016-4
2016-03-01,11,2016,3,2,14,3,5,3,1,1,0,0,0,0,0,0,8.880964898,53.064490035,Hemelingen,Hastedt,2016-3
2016-03-01,11,2016,3,5,9,3,5,3,1,1,0,0,0,0,0,0,8.561150792,53.190381286,Blumenthal,Blumenthal,2016-3
2016-03-01,11,2016,3,5,11,3,5,3,1,1,0,0,0,0,0,0,8.805882612,53.073404225,Mitte,Altstadt,2016-3
2016-04-01,11,2016,4,5,16,3,5,3,1,1,0,0,0,0,0,0,8.801275258,53.086838631,Mitte,Bahnhofsvorstadt,2016-4
2016-04-01,11,2016,4,3,18,3,1,5,1,0,0,0,0,1,0,0,8.781601307,53.087638482,Walle,Überseestadt,2016-4
2016-04-01,11,2016,4,7,19,3,4,6,1,0,1,0,0,0,0,0,8.860271883,53.049470002,Obervieland,Habenhausen,2016-4
