,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,geometry
96,11,2016,1,2,8,2,1,5,1,0,0,0,1,0,1,1,8.808913879,53.074163814,Mitte,Altstadt,POINT (8.808913879 53.074163814)
97,11,2016,1,5,11,3,3,6,1,1,0,0,0,0,0,0,8.599300784,53.179365287,Vegesack,Fähr-Lobbendorf,POINT (8.599300784 53.179365287)
98,12,2016,2,6,7,3,0,7,1,0,0,0,0,0,0,2,8.602303318,53.57202338,Lehe,Königsheide,POINT (8.602303318000001 53.57202338)
99,12,2016,1,3,13,3,5,3,1,1,0,0,0,0,0,0,8.559991088,53.572875696,Häfen,Speckenbüttel,POINT (8.559991088 53.572875696)
100,12,2016,2,6,8,3,5,3,1,0,0,1,0,0,0,2,8.6061325,53.522140298,Geestemünde,Buschkämpen,POINT (8.606132499999999 53.522140298)
101,11,2016,1,5,13,3,5,3,1,1,0,0,0,1,0,1,8.932147474,53.040040894,Hemelingen,Mahndorf,POINT (8.932147474000001 53.040040894)
102,11,2016,1,2,8,3,2,2,1,1,0,0,0,0,0,1,8.822840771,53.082839755,Schwachhausen,Barkhof,POINT (8.822840770999999 53.082839755)
103,11,2016,2,3,19,3,0,3,1,1,0,0,0,0,2,1,8.864158638,53.099120124,Horn-Lehe,Lehe,POINT (8.864158637999999 53.099120124)
104,11,2016,1,5,17,3,5,2,1,1,0,0,0,0,2,1,8.784042183,53.07556884,Woltmershausen,Woltmershausen,POINT (8.784042183 53.07556884)
105,11,2016,2,3,14,2,5,3,1,0,0,0,1,0,0,0,8.729096426,53.085685483,Häfen,Neustädter Hafen,POINT (8.729096426 53.085685483)
106,11,2016,2,6,13,3,0,7,1,0,0,0,0,0,0,1,8.946480002,53.049811774,Osterholz,Osterholz,POINT (8.946480001999999 53.049811774)
107,11,2016,1,5,8,3,5,2,1,1,0,0,0,0,2,1,8.628419423,53.168588585,Vegesack,Grohn,POINT (8.628419423 53.168588585)
108,11,2016,2,3,17,3,5,3,1,1,0,0,0,0,2,1,8.904453109,53.078509048,Vahr,Neue Vahr Südost,POINT (8.904453109 53.078509048)
