,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil
110,12,2016,3,3,10,2,5,2,1,1,0,0,0,0,0,0,8.600023545,53.570172904,Lehe (BHV),Klushof
111,11,2016,3,1,15,3,0,3,1,1,0,0,0,0,0,0,8.605416861,53.178761422,Vegesack,Fähr-Lobbendorf
112,11,2016,4,6,14,3,5,3,1,1,0,0,0,0,0,0,8.862920381,53.090309473,Schwachhausen,Riensberg
113,11,2016,4,3,14,3,5,3,1,1,0,0,0,0,0,0,8.675495965,53.173586747,Burglesum,Lesum
114,11,2016,3,4,9,3,5,2,1,1,0,0,0,0,0,0,8.76082884,53.112974928,Gröpelingen,Lindenhof
115,11,2016,3,5,16,3,0,7,1,0,0,0,0,0,0,0,8.956267167,53.066453751,Osterholz,Tenever
116,11,2016,4,2,8,3,5,3,1,1,0,0,0,0,0,1,8.675242819,53.173603239,Burglesum,St.Magnus
117,12,2016,3,2,14,3,6,7,1,0,1,0,0,0,0,0,8.590812933,53.537200531,Geestemünde,Geestemünde-Nord
118,11,2016,4,1,23,3,0,1,1,0,0,0,0,0,2,0,8.848026556,53.050935324,Obervieland,Habenhausen
119,11,2016,3,4,8,3,5,3,1,1,0,0,0,0,0,0,8.812179567,53.07909368,Mitte,Bahnhofsvorstadt
120,11,2016,4,1,18,3,5,3,1,1,0,0,0,0,0,0,8.845333518,53.091101644,Schwachhausen,Neu-Schwachhausen
121,11,2016,3,4,13,3,5,3,1,1,0,0,0,0,0,0,8.838011301,53.067867077,Östliche Vorstadt,Peterswerder
122,11,2016,4,1,14,3,4,6,1,0,0,0,0,0,0,0,8.837167228,53.107344156,Horn-Lehe,Lehe
123,11,2016,4,1,19,3,5,3,1,1,0,0,0,0,0,0,8.75838678,53.057058776,Huchting,Grolland
124,11,2016,4,2,16,3,5,3,1,1,0,0,0,0,0,0,8.86427579,53.098198005,Horn-Lehe,Horn
125,11,2016,3,3,18,3,5,3,1,1,0,0,0,0,0,1,8.808939254,53.083176242,Mitte,Bahnhofsvorstadt
126,11,2016,3,4,16,2,0,1,1,0,0,0,0,0,0,0,8.901800849,53.075077333,Hemelingen,Sebaldsbrück
127,11,2016,3,5,11,3,0,1,1,0,0,0,0,0,0,0,8.772738675,53.100526259,Walle,Überseestadt
128,11,2016,4,1,20,2,0,1,1,0,0,0,0,0,2,0,8.703137511,53.162087334,Burglesum,Burgdamm
129,11,2016,3,7,19,3,5,3,1,0,0,0,0,1,2,0,8.932752082,53.065173404,Osterholz,Ellenerbrok-Schevemoor
130,11,2016,4,4,16,3,5,3,1,1,0,0,0,0,0,0,8.717234463,53.172910747,Burglesum,Burgdamm
131,11,2016,3,3,8,3,5,3,1,1,0,0,0,0,0,1,8.802333186,53.090763669,Findorff,Findorff-Bürgerweide
132,12,2016,3,3,8,3,5,3,1,1,0,0,0,0,0,0,8.597380595,53.568769813,Lehe (BHV),Klushof
133,11,2016,4,4,13,3,3,6,1,0,0,0,0,0,0,0,8.859738504,53.089648262,Schwachhausen,Radio Bremen
134,11,2016,3,7,12,3,5,2,1,1,0,0,0,0,0,0,8.850046479,53.085079966,Schwachhausen,Gete
135,11,2016,4,1,15,3,3,1,1,1,0,0,0,0,0,0,8.742437254,53.062911419,Huchting,Mittelshuchting
136,11,2016,4,4,19,3,0,7,1,0,0,0,0,0,0,1,8.819437836,53.072574695,Mitte,Ostertor
137,11,2016,4,4,7,3,1,1,1,1,0,0,0,0,0,1,8.834228235,53.090176902,Schwachhausen,Bürgerpark
138,11,2016,3,5,10,2,5,2,1,1,0,0,0,0,0,0,8.70846528,53.151837478,Burglesum,Burg-Grambke
139,11,2016,4,2,10,3,5,3,1,1,0,0,0,0,0,0,8.702148538,53.168182758,Burglesum,Burgdamm
140,11,2016,4,1,13,3,5,3,1,1,0,0,0,0,0,0,8.819687247,53.038297648,Obervieland,Kattenturm
141,11,2016,4,1,0,3,0,7,1,0,0,0,0,0,2,0,8.817882461,53.072374958,Mitte,Ostertor
142,11,2016,4,2,15,3,5,3,1,1,0,0,0,0,0,0,8.940559709,53.077595407,Oberneuland,Unbekannt
143,11,2016,4,1,16,3,0,1,1,0,0,0,0,0,0,0,8.691802551,53.168278129,Burglesum,Lesum
144,11,2016,3,2,16,3,5,3,1,1,0,0,0,0,0,0,8.805024035,53.08371231,Mitte,Bahnhofsvorstadt
145,11,2016,4,1,5,2,7,1,1,0,0,0,0,1,2,0,8.802034801,53.063799582,Neustadt,Buntentor
146,12,2016,3,1,20,3,0,7,1,0,0,0,0,0,1,1,8.592963608,53.556455765,Lehe (BHV),Klushof
147,11,2016,3,6,18,3,5,3,1,1,0,0,0,0,1,0,8.78897662,53.073130957,Neustadt,Alte Neustadt
148,11,2016,4,2,19,3,0,7,1,1,0,0,0,0,0,0,8.87917067,53.076257495,Vahr,Gartenstadt Vahr
149,11,2016,4,4,14,2,5,2,1,1,0,0,0,0,0,0,8.856585417,53.071355158,Hemelingen,Hastedt
150,11,2016,4,2,8,3,4,6,1,1,0,0,0,0,0,0,8.899802602,53.047335526,Hemelingen,Hemelingen
151,11,2016,3,5,7,3,3,6,1,1,0,0,0,0,0,0,8.830795963,53.074397578,Östliche Vorstadt,Steintor
152,11,2016,4,6,14,3,2,6,1,1,0,0,0,0,0,0,8.821997548,53.072830997,Mitte,Ostertor
153,11,2016,4,7,12,3,5,3,1,1,0,0,0,0,0,0,8.844819337,53.033690099,Obervieland,Arsten
154,11,2016,4,6,11,3,5,3,1,0,0,0,0,1,0,1,8.796629315,53.089221404,Walle,Utbremen
155,11,2016,4,2,9,3,3,6,1,0,0,0,0,0,0,0,8.801308121,53.071498151,Neustadt,Alte Neustadt
156,11,2016,3,6,17,3,5,3,1,1,0,0,0,0,1,0,8.737291418,53.134140503,Gröpelingen,Oslebshausen
157,11,2016,3,7,14,3,6,7,1,0,1,0,0,0,0,0,8.735067186,53.038056267,Huchting,Kirchhuchting
158,11,2016,4,5,13,3,4,6,1,0,0,0,0,0,0,0,8.810548366,53.075253184,Mitte,Altstadt
159,11,2016,3,7,15,3,5,2,1,1,0,0,0,0,0,0,8.768206656,53.104375033,Walle,Walle
160,12,2016,3,5,16,3,0,1,1,0,0,0,0,0,0,0,8.59146205,53.543692504,Geestemünde,Geestemünde-Nord
161,11,2016,4,1,22,3,0,7,1,0,0,0,0,0,2,0,8.80173235,53.06789362,Neustadt,Südervorstadt
162,12,2016,3,5,7,3,5,3,1,1,0,0,0,0,0,0,8.595208056,53.538989637,Geestemünde,Geestemünde-Nord
163,11,2016,4,4,12,3,0,7,1,0,0,0,0,0,0,0,8.826528399,53.072903557,Östliche Vorstadt,Steintor
164,11,2016,4,6,10,2,5,3,1,1,0,0,0,0,0,0,8.887635199,53.069705466,Hemelingen,Sebaldsbrück
165,11,2016,3,7,18,3,0,7,1,0,0,0,0,0,0,0,8.612186617,53.178596401,Vegesack,Fähr-Lobbendorf
166,11,2016,4,7,17,3,6,4,1,0,1,0,0,0,0,0,8.842432224,53.067725089,Östliche Vorstadt,Peterswerder
167,11,2016,4,6,19,3,0,7,1,0,0,0,0,0,0,0,8.765834807,53.082152753,Woltmershausen,Woltmershausen
168,12,2016,4,3,14,3,0,1,1,0,0,0,0,0,0,0,8.595284292,53.530378867,Geestemünde,Geestendorf
169,11,2016,4,1,12,3,0,1,1,0,0,0,0,0,0,0,8.794090895,53.074349536,Neustadt,Alte Neustadt
170,11,2016,4,2,19,3,5,2,1,1,0,0,0,0,1,0,8.800539481,53.078594612,Mitte,Altstadt
171,11,2016,3,5,19,3,4,6,1,0,0,0,0,0,1,0,8.827944128,53.079944798,Schwachhausen,Gete
172,12,2016,3,7,13,2,5,7,1,0,0,1,0,0,0,1,8.580081283,53.541065572,Mitte (BHV),Mitte-Süd
173,11,2016,4,3,16,3,0,7,1,1,0,0,0,0,0,0,8.827693759,53.07476679,Östliche Vorstadt,Steintor
174,11,2016,3,5,9,3,6,4,1,0,1,0,0,0,0,0,8.765408625,53.084933272,Woltmershausen,Woltmershausen
175,11,2016,3,5,16,3,8,1,1,0,0,0,0,0,0,0,8.702028919,53.173133958,Burglesum,Burgdamm
176,11,2016,4,5,16,3,5,2,1,1,0,0,0,0,0,0,8.808628099,53.08289893,Mitte,Bahnhofsvorstadt
177,11,2016,4,2,17,2,1,5,1,1,0,0,0,0,0,0,8.816264784,53.073299118,Mitte,Ostertor
178,11,2016,4,7,13,3,5,2,1,1,0,0,0,0,0,0,8.860624644,53.066172923,Hemelingen,Hastedt
179,11,2016,3,2,14,3,5,3,1,1,0,0,0,0,0,0,8.880964898,53.064490035,Hemelingen,Hastedt
180,11,2016,3,5,9,3,5,3,1,1,0,0,0,0,0,0,8.561150792,53.190381286,Blumenthal,Blumenthal
181,11,2016,3,5,11,3,5,3,1,1,0,0,0,0,0,0,8.805882612,53.073404225,Mitte,Altstadt
182,11,2016,4,5,16,3,5,3,1,1,0,0,0,0,0,0,8.801275258,53.086838631,Mitte,Bahnhofsvorstadt
183,11,2016,4,3,18,3,1,5,1,0,0,0,0,1,0,0,8.781601307,53.087638482,Walle,Überseestadt
184,11,2016,4,7,19,3,4,6,1,0,1,0,0,0,0,0,8.860271883,53.049470002,Obervieland,Habenhausen
185,11,2016,3,2,9,3,5,3,1,1,0,0,0,0,0,1,8.812747544,53.080916767,Mitte,Bahnhofsvorstadt
186,11,2016,3,4,18,2,6,4,1,0,1,0,0,0,0,0,8.802834206,53.069974866,Neustadt,Alte Neustadt
187,11,2016,4,3,17,3,1,5,1,1,0,0,0,0,0,1,8.822043447,53.072833741,Mitte,Ostertor
188,11,2016,4,6,16,3,5,3,1,1,0,0,0,0,0,1,8.886323666,53.071535881,Hemelingen,Sebaldsbrück
189,11,2016,3,5,10,2,5,3,1,1,0,0,0,0,0,0,8.891932497,53.048089347,Hemelingen,Hemelingen
190,11,2016,3,6,1,2,1,5,1,1,0,0,0,0,0,1,8.846852726,53.087989319,Schwachhausen,Riensberg
191,11,2016,3,5,8,3,3,2,1,1,0,0,0,0,0,1,8.831971938,53.092612922,Schwachhausen,Neu-Schwachhausen
192,11,2016,3,6,22,3,2,6,1,1,0,0,0,0,2,1,8.848807285,53.067805024,Östliche Vorstadt,Peterswerder
193,11,2016,3,4,12,2,5,3,1,1,0,0,0,0,0,0,8.704928727,53.171046871,Burglesum,Burgdamm
194,11,2016,4,3,10,2,5,3,1,0,0,0,0,1,0,0,8.738165973,53.134590377,Gröpelingen,Oslebshausen
